name,party,speech
"
Markus Frohnmaier",AfD,"Denken Sie auch mal an die Eltern, an die Eltern der 
Opfer, die sich abends in den Schlaf weinen!"
"
Markus Frohnmaier",AfD,"Was Sie hier diese Woche veranstaltet haben, das ist 
wirklich eine Schande."
"
Wolfgang Kubicki",FDP,"Frau Präsidentin! Liebe Kolleginnen und Kollegen! 
Ich bin mir nicht ganz sicher, ob wir alle gut beraten sind, 
angesichts der Frage, wie wir die Migration steuern kön-
nen, permanent eine Anti-AfD-Debatte zu führen. Ich bin mir nicht sicher.

Ich bin vor 54 Jahren in die FDP eingetreten und habe 
schon Wahlkampf für Willy Brandt und Walter Scheel gemacht, als viele von denen, die hier im Saal sitzen, noch nicht einmal geboren waren. Und auch ich bin da -
mals für „… mehr Demokratie wagen“ eingetreten. Ich war 1990 Abgeordneter des ersten freigewählten gesamt-deutschen Parlaments seit 1933, das Willy Brandt als 
Alterspräsident eröffnet hat, nachdem mutige Menschen 
in der DDR für Demokratie und Freiheit aufgestanden sind. Ich habe 25 Jahre als Vorsitzender einer Landtags -
fraktion meinem Land gedient und die Institutionen un-
seres Staates in den 90er-Jahren schon gegen die DVU 
verteidigt und gemeinsam mit Ralf Stegner dafür gesorgt,
(Dr. Bernd Baumann [AfD]: Um Gottes wil-
len!)
dass die AfD wieder aus dem Schleswig-Holsteinischen 
Landtag verschwunden ist.

Ich wurde 2019 für meinen jahrzehntelangen Einsatz 
für den Rechtsstaat und die Demokratie vom Bundesprä-
sidenten mit dem Bundesverdienstkreuz ausgezeichnet. 
Und jetzt muss ich mir von einer V orfeldorganisation 
der regierungstragenden Grünen sagen lassen, ich würde einer Initiative zustimmen, die rechtsextrem, rassistisch 
und demokratiefeindlich ist, und ich würde dem Faschis-
mus Tür und Tor öffnen.
Gleichzeitig muss ich mir von der Vorsitzenden der 
Grünenfraktion sagen lassen, meine Partei stünde rechts 
der AfD. Was soll das eigentlich heißen, liebe Kollegin Haßelmann? Ist die AfD für Sie gesprächsfähiger als wir? 
Was soll das heißen?

Wenn sich jemand entschuldigen muss, dann Frau Haßelmann bei meiner Partei.

Liebe Grüne, wer politische Mitbewerber auf diese 
Weise abqualifiziert, die ihre parlamentarische Pflicht 
erfüllen und in der Sache einer politischen Initiative 
ihre Zustimmung geben, der sollte sich in Fragen der Moral besser zurückhalten.

Und ich finde, eine Partei, bei der die Unschuldsver-mutung in eine Schuldvermutung umgekehrt wird, sollte 
sich insgesamt mit Belehrungen zurückhalten.

Wenn wir jetzt erleben, dass CDU-Zentralen be-
schmiert werden und die Polizei Veranstaltungen mit CDU- und FDP-Beteiligung schützen muss, frage ich"
"
Wolfgang Kubicki",FDP,"Ich lasse mich darauf nicht ein. Ich stimme in der 
Sache, wie ich das für richtig halte, und auch meine Fraktion lässt sich darauf nicht ein. Wir werden in der 
Sache zustimmen.
Vielen Dank.
(Langanhaltender Beifall bei der FDP und der CDU/CSU sowie bei Abgeordneten der AfD – 
Die Abgeordneten der FDP-Fraktion erheben sich – Abgeordnete der CDU/CSU-Fraktion 
erheben sich)"
"
Alexander Dobrindt",CDU/CSU,"Frau Präsidentin! Sehr geehrte Damen und Herren! 
Frau Bundesministerin Faeser, offensichtlich sind Sie 
aus Ihrer Fraktion von Ihrem Fraktionsvorsitzenden voll-kommen falsch informiert worden. Wir haben heute aktiv 
angeboten, unser Gesetz zu beraten, zu erweitern, zu er-
gänzen und neu vorzustellen. Sie waren nicht bereit dazu, dieses Gesetz neu zu beraten und vorzustellen.

Sie waren nicht bereit dazu. Sie waren nicht bereit dazu, 
weil Sie keine Bereitschaft haben, die Begrenzung durch-zusetzen, weil Sie keine Bereitschaft haben, den Famili-
ennachzug einzuschränken,
(Saskia Esken [SPD]: Lüge!)
weil Sie keine Bereitschaft haben, der Bundespolizei mehr Kompetenzen zu geben. Wir haben alles im Detail 
nachgefragt.
(Saskia Esken [SPD]: Lüge!)
Sie haben keine Bereitschaft dazu gehabt.

Frau Baerbock, Sie sprechen hier von einer Zäsur. Ja, 
in der Tat, eine Zäsur hat stattgefunden, und zwar spätes-tens am 22. Januar um 11.45 Uhr in Aschaffenburg. Ich will Ihnen aus dem Bericht etwas vorlesen, damit wir 
wissen, warum wir heute hier stehen:
Der Tatverdächtige zog einem im Bollerwagen sitzen-
den zweijährigen deutschen Jungen marokkanischer Her-kunft die Mütze und den Schal aus und stach ohne weitere 
Vorankündigung mit einem 32 Zentimeter langen Kü-chenmesser mehrfach auf den Hals- und Schulterbereich 
des Jungen ein.
(Susanne Menge [BÜNDNIS 90/DIE GRÜ-NEN]: Was sagen Sie eigentlich den Eltern? 
Was ist das für eine erbärmliche Show hier!)
Der Junge wurde hierdurch tödlich verletzt. Anschlie-ßend wandte er sich einem weiteren Kind, einem zwei-
jährigen syrischen Mädchen, zu und verletzte dieses 
durch Messerstiche im Halsbereich schwer.
(Dr. Bernd Baumann [AfD]: Unter Ihrer Re-
gierung eingewandert! Unkontrolliert!)
Ich erspare Ihnen die weiteren Teile des Berichts, wie 
er den 41-jährigen Helfer ermordet hat. – Aber Ihre Zwi-
schenrufe gerade – jeder konnte das hören –,

das ist Ihr Respekt, den Sie der Öffentlichkeit schreiend 
entgegentönen. Das ist Ihr Respekt, genau der.
Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                 27532 
(A) 
(B) (C) 
(D) Bundesministerin Nancy Faeser 
Herr Mützenich, ich hätte erwartet, dass Sie zumindest 
an einer Stelle mal erwähnen, warum wir heute hier sit-
zen – nach Solingen, nach Magdeburg, nach Aschaffen-burg –, was die Ursache für unser Zustrombegrenzungs-
gesetz ist. Aber nein, Sie erzählen, Sie wollen etwas 
gegen rechts unternehmen, Sie wollen gegen rechts außen kämpfen. Ich glaube Ihnen das sogar. Aber das Lebens -
elixier von rechts außen, das ist die ungelöste Migrations-frage, das sind die Sicherheitsfragen, die steigende Angst. Sie tun dagegen nichts.

Stattdessen haben Sie eine spalterische Rede gehalten, Herr Mützenich. Ja, Sie haben die Argumente durch Vor-
würfe, durch Anwürfe ersetzt. Sie haben das Problemlö-
sen durch Polarisierung ersetzt. Sie haben die Sicherheit durch Spaltung ersetzt. Das ist das Ergebnis Ihrer Rede.

Ich gebe Ihnen auch ein Zitat mit, ein Zitat eines So-
zialdemokraten:
„Wenn wir uns weiterhin einer Steuerung des Asyl-problems versagen, dann werden wir eines Tages von den Wählern, auch unseren eigenen, weggefegt, 
....“"
"
Alexander Dobrindt",CDU/CSU,"So spaltet die Restampel die Gesellschaft. – Das war 
Ihre grüne Kollegin gestern."
"
Alexander Dobrindt",CDU/CSU,Ja.
"
Alexander Dobrindt",CDU/CSU,"Sehr geehrter Herr Mützenich – letzter Satz –, Sie 
haben von der Hölle gesprochen. Wenn Sie es hier schon 
mit Himmel und Hölle so ernst nehmen, –"
"
Alexander Dobrindt",CDU/CSU,– dann gebe ich Ihnen Jakobus mit auf den Weg:
"
Alexander Dobrindt",CDU/CSU,"„Wer also das Richtige tun kann und es nicht tut, der 
sündigt.“
Danke schön."
"
Alexander Dobrindt",CDU/CSU,"Lieber Kollege Mützenich, wir haben über viele Stun-
den heute zusammengesessen. Ich weiß nicht, ob wir 
gleiche Erinnerungen daran haben.
(Lachen bei Abgeordneten der SPD)"
"
Christian Dürr",FDP,"Vielen Dank. – Frau Präsidentin! Verehrte Kolleginnen 
und Kollegen! Ich habe mich noch einmal zu Wort ge-
meldet, um insbesondere den heutigen Vormittag zu be-
leuchten.

Wir haben den Vorschlag einer Rücküberweisung in 
den Innenausschuss gemacht, weil in diesem Haus SPD, Grüne, FDP und Union eine große, große Mehrheit ha -
ben, die aus meiner Sicht genutzt werden sollte. Wir haben dann über Stunden in verschiedenen Runden ver-handelt, was möglich ist. Meine Fraktion, die FDP, hat 
heute Vormittag mit diesem Vorschlag und in den danach 
folgenden Verhandlungen wirklich alles, aber auch alles in ihrer Macht Stehende getan, um zu einem Konsens unter Demokraten in diesem Haus zu kommen. Alles 
haben wir getan. Alles haben wir getan, Herr Mützenich´.

Wir haben den ganzen Vormittag nicht mit denen zu 
meiner Rechten gesprochen, zu keiner Sekunde. Wir ha-
ben sie nicht mal angeguckt. Wir haben mit SPD und Grünen verhandelt, damit die demokratische Mehrheit endlich Ordnung und Kontrolle in die Migrationspolitik 
bringt. Und Sie haben sich verweigert, den ganzen Vor -
mittag, Herr Mützenich, Frau Haßelmann, Frau Dröge – 
den ganzen Vormittag.

Ich will deshalb sehr konkret etwas zu den Inhalten 
sagen; die Außenministerin hat ja angekündigt, zu Inhal-
ten zu sprechen, aber dann komplett darauf verzichtet.
(Heiterkeit und Beifall bei der FDP sowie bei 
Abgeordneten der CDU/CSU)
Wir haben, meine Damen und Herren, mit diesem Gesetz-
entwurf Folgendes vorliegen – es ist vorhin schon gesagt worden –: insbesondere die Frage der Ordnung und Kon-
trolle bei der Begrenzung der irregulären Migration und 
die Frage der Ordnung des Familiennachzugs, wozu Christian Lindner in den Gesprächen – Alexander Dobrindt sagte es gerade, und Sie müssten es bestätigen, 
Herr Mützenich – gesagt hat: Wir können die Frage der 
Neuordnung des Familiennachzugs auch zeitlich befris -
ten; dazu wären wir bereit. – Zudem geht es um Befug-
nisse der Bundespolizei. Meine Damen und Herren, das, 
was heute zur Abstimmung steht, hat eine Ministerprä-sidentenkonferenz,
(Wolfgang Kubicki [FDP]: … beschlossen!)
zu denen auch SPD und Grüne gehören, beschlossen. Es ist teilweise das Wahlprogramm der deutschen Sozialde-
mokratie, das zur Abstimmung steht. Und Sie stimmen 
dagegen aus rein wahlkampftaktischen Gründen.
Das ist das, was ich Ihnen zum Vorwurf mache. Das ist der einzige Grund, warum Sie dagegenstimmen.
Ich will zum Abschluss eine Sache offenlegen, die in 
diesen Gesprächen auch eine Rolle gespielt hat. Ich glau-be, das muss die deutsche Öffentlichkeit wissen. Die 
Bundesaußenministerin hat gerade von der GEAS-Re-
form gesprochen, nämlich der Umsetzung des Gemein-samen Europäischen Asylsystems. Es liegt ein Gesetz-entwurf von SPD und Grünen dazu vor. Frau Baerbock, 
ich frage mich, ob Ihre Fraktionsvorsitzenden Ihnen mit-
geteilt haben, was ich heute Vormittag angeboten habe. Ich habe heute für meine Fraktion angeboten, dass wir 
diesem Gesetzentwurf von SPD und Grünen zustimmen 
werden, wenn im Gegenzug dieses Gesetz, das Wahlpro -
gramm der SPD und Beschluss der Ministerpräsidenten-
konferenz ist, auch umgesetzt wird. Mehr Angebote kann 
man nun wirklich nicht machen – um das in aller Deut-lichkeit zu sagen –, um zu einer demokratischen Mehrheit im Haus zu kommen.

Nein, als Freier Demokrat lasse ich mir von Ihnen nicht 
einreden, dass die liberale demokratische Mitte in 
Deutschland schwach ist. Sie ist stark, meine Damen 
und Herren. Sie wird gebraucht, um endlich zu Mehr -
heiten zu kommen – für Ordnung in der Migrationspoli-
tik, aber den Erhalt der Weltoffenheit Deutschlands.
Ich danke Ihnen."
"
Christian Dürr",FDP,"Vielen Dank, Frau Präsidentin, sehr gerne. – Frau Kol-
legin Dröge, wir haben heute Morgen sehr lange zusam-
mengesessen. An dem Zwischenruf des Kollegen Merz 
gerade haben Sie festgestellt, dass Ihre Darstellung, dass 
wir andere Mehrheiten suchen würden, grundfalsch war. Aber darauf will ich gar nicht hinaus.

Ich hatte mir überlegt, ob es notwendig ist, dass ich auf 
diese Kurzintervention antworte, weil Sie in Wahrheit ein 
Wort benutzt haben, das leider auf die Migrationspolitik 
in Deutschland zutrifft, ein Wort, das schon viel zu lange benutzt wird. Sie haben in der Frage der Ordnung und Kontrolle bei der Migrationspolitik davon gesprochen, 
auf die Pausentaste zu drücken. Und wissen Sie, was 
Ihr Ziel ist? Dauerhaft auf dieser Pausentaste zu bleiben! Das haben wir nämlich die letzten Jahre erlebt. Das ist 
das, was Sie gemacht haben; genau das haben Sie ge -
macht.

Frau Kollegin Dröge, ich habe – und ich bin dankbar, 
das will ich sagen unter Demokraten, dass Sie dem nicht widersprochen haben – heute Morgen das Angebot ge -
macht, dem Gesetzentwurf von Bündnis 90/Die Grünen 
und SPD zu GEAS zuzustimmen und mit dafür zu sorgen, 
dass meine Fraktion – wir hätten dafür eine Mehrheit gehabt – diesen Gesetzentwurf durch den Deutschen 
Bundestag bringt. Im Gegenzug bestand die Möglichkeit, 
dass die Punkte, bei denen ja nach der Debatte glasklar Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                 27536 
(A) 
(B) (C) 
(D) Katharina Dröge 
geworden ist, dass sie inhaltlich nicht nur von der breiten 
deutschen Öffentlichkeit unterstützt werden, wie wir aus 
Umfragen wissen, sondern auch von der breiten Mehrheit der anwesenden Parteien, inklusive der Sozialdemokra -
tie, umgesetzt werden. Dass es nicht möglich war, das, was breiter Konsens in der deutschen Politik und in den Bundesländern ist, im Gegenzug zu verabschieden,
(Patrick Schnieder [CDU/CSU]: Sie wollen 
keine Lösungen! Das ist der Punkt!)
kann ich, offen gestanden, nicht verstehen. Ich kann nicht mehr verstehen, wie Bündnis 90/Die Grünen ticken. Und ich befürchte, Deutschland versteht es auch nicht mehr.
Ich danke Ihnen."
"
Heidi Reichinnek",Die Linke,"Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und 
Kollegen! Wer sich die letzten Jahre gefragt hat, wann der 
Punkt kommt, an dem unser Land in eine Richtung kippt, 
die ernsthaft gefährlich wird: Das ist der Punkt – heute, hier! Und dagegen müssen wir, die wir die Demokratie 
ernsthaft verteidigen, geschlossen zusammenstehen.

Herr Merz, ich kann Ihnen nur sagen – jetzt ist er 
wieder weg –: Herzlichen Glückwunsch! Sie haben es geschafft! Sie haben dafür gesorgt, dass eine rechts-extreme Partei zum ersten Mal seit 1945 hier in diesem 
Land die Möglichkeit hat, ihre Politik aktiv durchzuset-
zen. Ich frage mich: Wie fühlen Sie sich gerade? Sind Sie stolz? Sind Sie zufrieden? Ist es Ihnen einfach total 
egal? – Sie haben gerade gesagt: Von meiner Partei reicht 
niemand der AfD die Hand. – Stimmt, Sie liegen sich ja schon lange glücklich in den Armen."
"
Heidi Reichinnek",Die Linke,"Ich komme zum Schluss. Der SPD und den Grünen 
sage ich deswegen ganz deutlich: Mit einer Union unter 
Merz könnt ihr nicht zusammenarbeiten, sagt das, weder vor der Wahl noch danach. Sagt das deutlich!"
"
Heidi Reichinnek",Die Linke,"Diese Selbsthilfegruppe hier brauchen wir nicht.
Mein letzter Satz. Allen, die aufgrund dessen, was hier 
passiert, Angst um sich, um ihre Familie haben und den-
ken: „Vielleicht muss ich hier weg“, sage ich: Nicht mit 
uns! Wir stehen zusammen!"
"
Heidi Reichinnek",Die Linke,"Kein Fußbreit denen, die mit ihrem Hass entzweien 
wollen! Die Brandmauer, das sind wir."
"
Wolfgang Kubicki",FDP,"Frau Kollegin Reichinnek, ich habe auch Sorge um 
Sie. Ich habe gesehen und gelesen, dass Sie in Person mit einer Fahne der Antifa dazu aufrufen, auf die Barri -
kaden zu gehen. Ist Ihnen eigentlich bekannt und be-wusst, dass man nur gegen die Regierung auf die Barri-kaden geht und nicht gegen die Opposition?"
"
Heidi Reichinnek",Die Linke,"Unglaublich gerne. – Vielen Dank, Herr Kubicki, für 
diesen spannenden Blick auf meinen Aufruf am Mitt-
woch. Ich habe ganz klar gesagt: Wir alle in diesem Land, die für eine solidarische Gesellschaft kämpfen, die keine Menschen ausschließt, wir alle, die wir dem Rechtsextre -
mismus die Stirn bieten wollen, ja, wir müssen auf die Barrikaden gehen gegen den grassierenden Faschismus, den auch Sie mit Ihrer eigentlich liberalen Partei Hand in 
Hand mit der Union unterstützen. Ja, dagegen gehe ich 
auf die Barrikaden."
"
Thomas Seitz",fraktionslos,"Sehr geehrte Frau Präsidentin! Meine Damen und Her-
ren! Dieses Gesetz löst nicht die Krise, ist aber ein guter 
Anfang. Nur wird es nie in Kraft treten, selbst wenn es 
heute eine Mehrheit findet. Und das soll es auch gar nicht. Denn für eine Koalition mit SPD oder Grünen müsste 
man es nach der Wahl wieder aufheben, was für Herrn 
Merz einer Selbstkastration gleichkäme.Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                                                                                                                                                                                27539 
(A) 
(B) (C) 
(D) Dr. Sahra Wagenknecht 
Wie also macht man ganz laut Wahlkampf, ohne die 
rot-grüne Regierungsoption zu gefährden? Denn die AfD 
bleibt ja außen vor. Ganz einfach: Man bringt einen wo-chenlang zurückgehaltenen Gesetzentwurf kurz vor 
knapp doch noch und hofft auf eine Annahme mit Stim-
men von Union, AfD, FDP und BSW. Der linke Mob von dunkelrot bis braun-grün schäumt vor Wut, während 
wankelmütige Wähler eingelullt werden und Abtrünnige 
zurückkehren, weil Merz plötzlich als Reinkarnation von Franz Josef Strauß gilt.
Und das Gesetz? Dieses leitet der Bundespräsident 
unverzüglich dem Bundesrat zu, und zwar zur nächsten Sitzung, bei der die Frist von drei Wochen für die An-rufung des Vermittlungsausschusses unverkürzt gewahrt 
ist. Die nächste Bundesratssitzung am 14. Februar reicht 
also nicht, sondern erst die übernächste am 21. März. Der Bundesrat kann zwar auch noch nach dem Ende der 
Wahlperiode einem Gesetz zustimmen, und es tritt dann 
auch in Kraft. Wird aber der Vermittlungsausschuss an -
gerufen, heißt es „Ende Gelände“ und „Treffer. Ver-senkt“; denn er besteht zur Hälfte aus Mitgliedern des 
Bundestages und unterliegt deshalb der Diskontinuität. 
Die Herren Günther und Wegner von der CDU müssen das Gesetz also noch nicht einmal durch eine Ablehnung 
torpedieren, es reicht völlig aus, den Vermittlungsaus -
schuss anzurufen. So viel zum Thema „Merz und Migra-
tionswende“."
"
Thomas Seitz",fraktionslos,"Liebe Bürgerinnen und Bürger, ich hoffe, dass Sie auf 
diese Scharade nicht hereinfallen. Mit Herrn Merz wird 
sich gar nichts ändern.
Vielen Dank."
"
Joana Cotar",fraktionslos,"Frau Präsidentin! Werte Kollegen! Was für ein Zirkus! 
Was für ein Zirkus hier im Hohen Hause. Und das alles 
nur, weil eine Fraktion etwas Urdemokratisches macht: Sie stellt ein Gesetz zur Abstimmung, dem wir zustim -
men können oder das wir ablehnen können. Hört man aber der linken Seite zu, hat man das Gefühl, die Welt ginge unter und der Teufel persönlich sei unter uns.
Ich sage Ihnen mal etwas, liebe Links-Grüne hier im"
"
Joana Cotar",fraktionslos,"Ich persönlich könnte damit nicht leben.
Herzlichen Dank."
"
Andrea Lindholz",CDU/CSU,"Sehr geehrter Herr Castellucci, vielen Dank, dass Sie 
diese Zwischenfrage zulassen. Und vielen Dank, dass Sie hier links neben uns die Toleranz aufbringen, noch zu -
zuhören, und hier nicht mit Zwischenrufen und Zwi-schenthesen kommen.

Herr Dr. Castellucci, Sie sind Vorsitzender des Innen-
ausschusses.
(Katja Mast [SPD]: Zum Glück! – Beatrix von 
Storch [AfD]: Stellvertretender! – Gegenruf 
der Abg. Katja Mast [SPD]: Kommissari-scher!)
– Stellvertretender Vorsitzender des Innenausschusses. – 
Der aktuelle Gesetzentwurf, der hier jetzt heute zur Ab-
stimmung steht, ist zunächst hier und danach im Innen-ausschuss beraten worden. Er hat den Innenausschuss im Herbst letzten Jahres – ich glaube, im November letzten 
Jahres – verlassen. Er steht also hier heute zur Abstim-
mung; er ist abstimmungsreif. Er wurde im Innenaus-schuss beraten. Sämtliche Einwendungen, die man gegen 
diese drei einfachen Punkte hätte vorbringen können, 
konnte man im Innenausschuss vorbringen.

Punkt eins. Die Begrenzung stand bis zum Jahr 2023, 
bis Sie das herausgenommen haben, im Gesetz.
Punkt zwei. Die vorübergehende Aussetzung des Fa-
miliennachzuges hat die SPD zusammen mit uns, der 
Union, im Jahr 2016, als es hier schon mal eine große Migrationskrise gab, beschlossen und umgesetzt. Die jet -
zige Textformulierung entspricht der Textformulierung 
von damals.
(Alexander Dobrindt [CDU/CSU]: So ist es!)
Und den dritten Punkt, die Befugniserweiterung für die 
Bundespolizei, hat diese SPD mit uns in der letzten Le-
gislaturperiode beschlossen. Der Text ist wortgleich. Er 
ist im Bundesrat gestoppt worden.
(Alexander Dobrindt [CDU/CSU]: So ist es!)"
 Lars Castellucci,SPD,"Geschätzte Frau Kollegin Lindholz, ich kann Ihnen 
zwei Antworten darauf geben. Einmal ist das der Damm-
bruch, der am Mittwoch passiert ist.
(Dorothee Bär [CDU/CSU]: Das ist doch 
Quatsch! Das hätten Sie doch vorher klären 
können! Das stimmt doch nicht! Lüge! – Wolfgang Kubicki [FDP]: Den können Sie doch jetzt verhindern! – Zurufe von der 
CDU/CSU: Oh!)
Das andere Problem mit der Abstimmung am Mittwoch 
war der Inhalt.
(Dorothee Bär [CDU/CSU]: Welcher Inhalt?)
Sie gaukeln den Menschen nämlich vor, es gebe einfache 
Lösungen.
(Alexander Dobrindt [CDU/CSU]: Wir reden 
doch über ein Gesetz! – Dorothee Bär [CDU/ 
CSU]: Sie wollen nicht in der Sache reden! 
Ganz schwache Nummer! – Weitere Zurufe von der CDU/CSU)
Das heißt, Sie wollen nicht nur mit den Populisten ge-meinsame Sache machen, sondern Sie äffen die Populis-ten auch noch nach. Und für das Vorgehen werden Sie nicht die Zustimmung der SPD-Fraktion haben.

Das, was Sie heute vorgelegt haben, ist inhaltlich völ-
lig unzureichend
(Dorothee Bär [CDU/CSU]: Unzureichend? – 
Alexander Dobrindt [CDU/CSU]: Hoffentlich 
sehen Ihre Wähler das! – Christian Dürr [FDP]: Sie merken, wie Sie schwimmen, Herr Kollege, oder?)
und auch nicht der Sache angemessen, auch nicht ange-sichts der schrecklichen Taten, die unser Land in den letzten Wochen beschäftigt haben.
(Dorothee Bär [CDU/CSU]: Das ist ja ganz schwach! Ganz schwach! – Weitere Zurufe von der CDU/CSU – Zurufe von der FDP)
– Ich weiß nicht, ob Sie sich vielleicht wieder beruhigen wollen,
(Dorothee Bär [CDU/CSU]: Nee! Das ist doch keine Begründung! – Zuruf des Abg. Alexander Dobrindt [CDU/CSU])
wenn wir jetzt schon mal die Gelegenheit haben, über die Sachfrage zu reden.
(Dorothee Bär [CDU/CSU]: Dann reden Sie 
doch mal!)
Frau Kollegin Lindholz hat mich gefragt, warum die 
SPD-Fraktion nicht zustimmen will,
(Patrick Schnieder [CDU/CSU]: Sie wollen 
keine Lösung!)das Wort „Begrenzung“ wieder hineinzunehmen als 
Zweckbestimmung des Aufenthaltsgesetzes. Darauf gibt 
es eine sehr einfache Antwort: Sie haben recht: Bis zum Jahr 2023 stand das Wort „Begrenzung“ im Aufenthalts -
gesetz.
(Alexander Dobrindt [CDU/CSU]: Das heißt 
„Steuerung und Begrenzung“!)
Davor haben wir Jahre mit dem größten Zuzug unter der 
Verantwortung Ihrer Bundeskanzlerin

und Ihrer Innenminister erlebt.
(Widerspruch bei der CDU/CSU – Dorothee 
Bär [CDU/CSU]: Falsch! Quatsch!)
Wir haben es im Jahr 2023 geändert, und im Jahr 2024 
sind die Zahlen so gesunken, wie es die Ministerin gerade 
vorgestellt hat.

Merken Sie eigentlich irgendwas? Sie streuen den Leuten 
Sand in die Augen. Das sind doch keine Lösungen."
"
Thorsten Frei",CDU/CSU,"Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und 
Kollegen! Ich glaube, Frau Dröge, mit dem, was Sie jetzt 
hier vorgetragen haben, werden Sie auch dem ernsten Teil 
der Debatte nicht gerecht.

Denn wir haben die Sitzung des Deutschen Bundestages 
für gut drei Stunden unterbrochen, um mit allen Parteien 
der demokratischen Mitte dieses Hauses zu sprechen. Sie 
haben gehört, wie die Kollegen Christian Dürr, Friedrich Merz, Alexander Dobrindt aus den Gesprächen mit Ihnen berichtet haben.
(Britta Haßelmann [BÜNDNIS 90/DIE GRÜ-
NEN]: Ja, wir waren ja auch dabei!)
– Ja, ich war auch mit dabei.
(Britta Haßelmann [BÜNDNIS 90/DIE GRÜ-
NEN]: Einmal fünf Minuten!)
Das, was ich mitbekommen habe, das war durchaus klar in der Sache.
Wir haben über verschiedene Möglichkeiten diskutiert 
und auch Angebote gemacht. Sie haben sehr deutlich gemacht – Sie als grüne Fraktion! –, dass Sie nicht bereit sind, heute inhaltlich über diese Themen zu sprechen.
(Britta Haßelmann [BÜNDNIS 90/DIE GRÜ-
NEN]: In einer Viertelstunde?)– Nein. Wir hatten ja am Ende des Tages vier Stunden 
Zeit. – Sie wollten es nicht. Ihnen ging es ganz grund-
sätzlich darum, dass wir hier zu keinem Ergebnis kom-men.

Im Grunde genommen ist diese Debatte hier die Fortset-
zung. Sie sind nicht bereit.

Sie wollen über die Symptome der Probleme diskutie-
ren, die wir in Deutschland haben.
(Katja Mast [SPD]: Nein!)
Wir wollen über die Ursachen der Probleme unseres Lan-
des reden und sie so lösen. Darum geht es. Und da waren 
Sie nicht bereit, mit uns gemeinsam über notwendige 
Vorschläge zu sprechen.

Deshalb ist es falsch, hier den Eindruck zu erwecken, als 
wären Sie wirklich bereit, in inhaltliche Gespräche ein-
zutreten.

– Nein, das haben Sie uns ja vorher relativ deutlich ge-
sagt.
Sie möchten die Zurücküberweisung in den Aus-
schuss, damit es dort bleibt, damit es der Diskontinuität anheimfällt.

Sie möchten in Wahrheit keine Lösung der Probleme.

Wir hätten heute die Chance gehabt. Wir hätten vor dieser 
Debatte die Chance dazu gehabt. Deshalb ist es einfach nicht richtig, was Sie tun, und deswegen beantragen wir, 
dass wir dabei bleiben, dass wir jetzt über diesen Gesetz -
entwurf abstimmen."
"
Christian Dürr",FDP,"Herzlichen Dank, Frau Präsidentin. – Verehrte Kolle-
ginnen und Kollegen! Es ist in der Debatte ja noch mal 
anschaulich dargestellt worden und, wie ich fand, fast am anschaulichsten in der letzten Rede des Kollegen 
Castellucci, in der er sehr deutlich gemacht hat, dass es 
in Wahrheit keinerlei inhaltliche Gründe gibt, warum die SPD-Fraktion heute nicht zustimmen sollte.

Das ist in der Debatte sehr deutlich geworden.
Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                 27544 
(A) 
(B) (C) 
(D) 
Wir haben heute Morgen die Möglichkeit gehabt, ent-
sprechend zu verfahren. Der Grund, warum wir hier jetzt 
noch in so großer Anzahl tagen, ist ja die Initiative meiner Fraktion vom heutigen Vormittag für Rücküberweisung 
in den Innenausschuss

mit dem Ziel, dass es Mehrheiten in der demokratischen 
Mitte für diesen Gesetzentwurf gibt, weil es sie inhaltlich 
bereits gibt. Es ist nur noch eine Frage der Abstimmung, 
meine Damen und Herren. Und die Frage ist auch, ob Sie dazu bereit sind, dass es diese Mehrheiten auch gibt. Das 
ist die einzige Frage, die jetzt zu entscheiden ist.

Dieses Instrument haben wir Ihnen heute Morgen an-
geboten, damit wir spätestens am 11. Februar vor der 
Bundestagswahl zu einer Entscheidung in der Mitte des 
Hauses kommen. Das war das Ziel.

Ich bin dankbar, dass es die Gespräche gegeben hat. 
Aber, Frau Kollegin Dröge, Ihre Wortmeldung gerade hat 
eines deutlich gemacht: Ihr Ziel ist nicht, dass es zu einer 
Mehrheit in der demokratischen Mitte kommt. Ihr Ziel ist, dass es gar kein Ergebnis in der Sache gibt. Und das kann keine Option sein, meine Damen und Herren, ins -
besondere vor dem Hintergrund dessen, was zurzeit im Land los ist."
